カテゴリ,管理番号,施設名,郵便番号,所在地,開設者名,管理者名,電話番号,開設年月日,有効開始日,有効終了日,出典ファイル
歯科診療所,,医療法人安井歯科,5290231,長浜市高月町森本１０８,医療法人安井歯科,,0749-85-3133,1990-10-01,,,5624241.xlsx
歯科診療所,,長浜なかたに歯科,5260831,長浜市宮司町1200番地コープながはま2階,仲谷　暢佑,,0749-62-8241,2022-06-01,,,5624241.xlsx
歯科診療所,,ユキデンタルクリニック,5260244,長浜市内保町2712-1,髙橋　幸寛,,0749-74-8241,2023-02-01,,,5624241.xlsx
歯科診療所,,ながはま祇園歯科,526-0063,長浜市末広町240番地6 ワイエフビル17　1階,医療法人 ユナイテッド,,0749-53-0200,2026-06-01,,,5624241.xlsx
歯科診療所,,林歯科医院,520-1833,高島市マキノ町蛭口1362番地,林　宗良,,0740-27-1533,2016-11-01,,,5624241.xlsx
歯科診療所,,藤本歯科医院,520-1621,高島市今津町今津1614,藤本 篤,,0740-22-2369,2001-11-13,,,5624241.xlsx
歯科診療所,,堀井歯科医院,520-1623,高島市今津町住吉2-12-8,堀井 長幸,,0740-22-3886,1980-05-01,,,5624241.xlsx
歯科診療所,,弘部歯科クリニック,520-1622,高島市今津町中沼一丁目3の9,弘部 智,,0740-22-3800,2024-05-01,,,5624241.xlsx
歯科診療所,,原田歯科医院,520-1632,高島市今津町桜町一丁目6-1,原田 直一,,0740-22-2016,2008-01-01,,,5624241.xlsx
歯科診療所,,たつなみ歯科医院,520-1605,高島市今津町南新保165番地,龍波 礼知,,0740-24-7057,2001-12-01,,,5624241.xlsx
歯科診療所,,横木歯科医院,520-1212,高島市安曇川町西万木793,横木  薫,,0740-32-0350,1979-04-01,,,5624241.xlsx
歯科診療所,,歯科山本医院,520-1212,高島市安曇川町西万木641-13,山本  修,,0740-32-0323,1994-07-01,,,5624241.xlsx
歯科診療所,,おおやま歯科クリニック,520-1214,高島市安曇川町末広3-8,大山 恒徳,,0740-32-8088,1998-04-11,,,5624241.xlsx
歯科診療所,,なかの歯科,520-1214,高島市安曇川町末広4-40-1,医療法人 なかの歯科,,0740-32-3377,2025-04-01,,,5624241.xlsx
歯科診療所,,あだち歯科クリニック,520-1212,高島市安曇川町西万木大将軍811,足立　剛,,0740-32-6480,2002-04-15,,,5624241.xlsx
歯科診療所,,金田歯科医院,520-1111,高島市鴨2908,金田 常和,,0740-36-2277,1994-11-04,,,5624241.xlsx
歯科診療所,,藤本歯科医院,520-1522,高島市新旭町新庄625-1,藤本 洋子,,0740-25-2232,2008-01-01,,,5624241.xlsx
歯科診療所,,うえはら歯科,520-1501,高島市新旭町旭1-9-4,上原 茂弘,,0740-25-8241,2001-06-01,,,5624241.xlsx
歯科診療所,,医療法人社団四葉会　まつだ内科歯科クリニック,520-1501,高島市新旭町旭696,医療法人社団四葉会 松田歯科医院,,0740-25-4444,2011-08-01,,,5624241.xlsx
歯科診療所,,桜井歯科医院,520-1813,高島市マキノ町高木浜1－3－5,櫻井　敬丈,,0740-25-4345,2021-06-01,,,5624241.xlsx
歯科診療所,,野上歯科医院,520-1501,高島市新旭町旭2丁目2-4,医療法人野上歯科医院,,0740-25-7500,2022-12-01,,,5624241.xlsx
歯科診療所,,安原歯科医院,520-1217,高島市安曇川町田中45-3,安原 善樹,,0740-32-0081,2022-12-21,,,5624241.xlsx
歯科診療所,,医療法人前川歯科医院,520-1621,高島市今津町弘川253,医療法人前川歯科医院,,0740-22-5250,2023-01-01,,,5624241.xlsx
歯科診療所,,たむら歯科・こども矯正歯科,520-1214,高島市安曇川町末広三丁目３－１,田村　光正,,0740-28-7570,2025-09-01,,,5624241.xlsx
歯科技工所,25-2-1,歯科技工物製作所 ケンデン,525-0029,草津市下笠町816-16,川村 剣吾,川村 剣吾,,H14. 3. 1,,,5586267.pdf
歯科技工所,25-2-2,トライデント,525-0029,草津市下笠815-8西村ビル２階,松本 卓也,松本 卓也,,H13.12.18,,,5586267.pdf
歯科技工所,25-2-3,湖南歯科技工所,525-0036,草津市草津町1746,山本 英喜,山本 英喜,565-1049,S53. 8. 1,,,5586267.pdf
歯科技工所,25-2-4,草津ﾃﾞﾝﾀﾙ,525-0041,草津市青地町724,北川 義彦,北川 義彦,563-8548,H 3. 4. 1,,,5586267.pdf
歯科技工所,25-2-5,ｼﾊﾞﾀ歯科技工所,525-0051,草津市木川町1005番地,柴田 和彦,柴田 和彦,,H 1. 3.13,,,5586267.pdf
歯科技工所,25-2-6,山木ﾃﾞﾝﾀﾙ･ﾗﾎﾞﾗﾄﾘｰ,525-0051,草津市木川町796-4,木村 栄作,木村 栄作,563-9394,S58.11.12,,,5586267.pdf
歯科技工所,25-2-7,柴田歯科技工所,525-0051,草津市木川町1005,柴田 義彦,柴田 義彦,562-2379,H12. 1 12,,,5586267.pdf
歯科技工所,25-2-8,だんばら歯科工房,525-0055,草津市野路八丁目11-3,檀原 泉,檀原 泉,566-0138,H 3. 4.15,,,5586267.pdf
歯科技工所,25-2-9,ﾜｯﾂｸﾘｴｲﾃｲﾝｸﾞｶﾝﾊﾟﾆｰ,525-0055,草津市野路町2113,渡部 範生,催 滋集,564-3422,H 9. 6.10,,,5586267.pdf
歯科技工所,25-2-10,奥田ﾃﾞﾝﾀﾙｸﾗﾌﾄ,525-0056,草津市南笠町1194,奥田 敏之,奥田 敏之,562-5703,H 3. 2.25,,,5586267.pdf
歯科技工所,25-2-11,ＷＥＬＬ ＤＥＮＴＡＬ ＰＲＯ,525-0067,草津市新浜町8-10,村田 修三,村田 修三,,H18.5.11,,,5586267.pdf
歯科技工所,25-2-12,Yac dental laboratory,525-0037,草津市上笠2丁目3-9,谷内口 稔,谷内口 稔,,H27.11.12,,,5586267.pdf
歯科技工所,25-2-13,園田ﾃﾞﾝﾀﾙｸﾗﾌﾄ,525-0034,草津市草津二丁目14-32,園田 浩一,園田 浩一,,H 4. 1.21,,,5586267.pdf
歯科技工所,25-2-14,株式会社エイコー桐生,525-0043,草津市馬場町字岩河原1100番地9,株式会社エイコー桐生,丹野 直輝,586-7796,H31.2.5,,,5586267.pdf
歯科技工所,25-2-15,デンタルアシスト,525-0048,草津市追分南2丁目16-10,西岡 輝寿,西岡 輝寿,,H18.12.1,,,5586267.pdf
歯科技工所,25-2-16,ごうデンタルラボ,525-0032,草津市大路2丁目7-16,奥村 剛,奥村 剛,,R2.8.13,,,5586267.pdf
歯科技工所,25-2-17,株式会社 玉ラボ,525-0066,草津市矢橋町1257-4,株式会社 玉ラボ,玉利 夏美,,H13.5.10,,,5586267.pdf
歯科技工所,25-2-18,Belleclore Petit Lab,525-0032,草津市大路1丁目7-1-111,寺村 俊,寺村 俊,,H11.5.12,,,5586267.pdf
歯科技工所,25-2-19,有限会社エヌ・ディー・エル,524-0002,守山市小島町1809-9,南條 博彦,南條 博彦,583-5667,H 2.11. 8,,,5586267.pdf
歯科技工所,25-2-20,デンティック クラフト,524-0001,守山市川田町1792-3,田中 護,田中 護,514-1580,H13. 3. 1,,,5586267.pdf
歯科技工所,25-2-21,カズデンタルファクトリー,524-0022,守山市守山2-11-17,井上 和法,井上 和法,581-1135,H12. 1. 1,,,5586267.pdf
歯科技工所,25-2-22,有限会社ソロモン,524-0037,守山市梅田町4-31,井上 和法,岡村 貞一,583-8008,S63. 2.22,,,5586267.pdf
歯科技工所,25-2-23,有限会社滋賀ﾃﾞﾝﾀﾙ･ﾗﾎﾞﾗﾄﾘｰ,524-0044,守山市古高町98-6,竹内 茂,竹内 茂,583-7300,S55. 2. 4,,,5586267.pdf
歯科技工所,25-2-24,Ｍａｅｄａ Ｄｅｎｔａｌ Ｌａｂｏｒａｔｏｒｙ,524-0061,守山市赤野井町1612,前田達雄,前田 達雄,,H 5. 9. 7,,,5586267.pdf
歯科技工所,25-2-25,ﾊﾟｰﾙﾃﾞﾝﾀﾙﾓﾘﾔﾏ,524-0062,守山市杉江町383-1,勝永 日登志,勝永日登志,585-1324,S59.10. 1,,,5586267.pdf
歯科技工所,25-2-26,歯科技工所メタルファーム,524-0101,守山市今浜町2764,吉田 和紀,吉田 和紀,,H13. 1. 1,,,5586267.pdf
歯科技工所,25-2-27,株式会社イマイ,524-0101,守山市今浜町224,今井 利裕治,今井利裕治,585-7526,H 3. 7. 3,,,5586267.pdf
歯科技工所,25-2-28,近江ﾃﾞﾝﾀﾙｱｰﾄ,524-0102,守山市水保町1154-1,高橋 徹,高橋 徹,,H11. 3.31,,,5586267.pdf
歯科技工所,25-2-29,イシダデンタル,524-0014,守山市石田町１３１,石田 知己,石田 知己,,H17.11.1,,,5586267.pdf
歯科技工所,25-2-30,デンタル・ハウス,524-0033,守山市浮気町336-1,林 孝一,林 孝一,,H20.6.1,,,5586267.pdf
歯科技工所,25-2-31,デンタルラボ 十念,524-0046,守山市今宿町2丁目6-20,十念 直人,十念 直人,,H20.9.22,,,5586267.pdf
歯科技工所,25-2-32,デンタルアートシン,524-0102,守山市水保町1480-39,山本 真之,山本 真之,532-3405,H21.9.24,,,5586267.pdf
歯科技工所,25-2-33,ラボトリー植田,524-0014,守山市石田町131,植田 潤,植田 潤,,H23.3.22,,,5586267.pdf
歯科技工所,25-2-34,株式会社 Ｄ－ｂａｓｅ,524-0021,守山市吉身6丁目5番6号,株式会社Ｄ－ｂａｓｅ 取締役 小林 雅樹,山本 昌秀,516-8400,H23.1.21,,,5586267.pdf
歯科技工所,25-2-35,Gunners Dental Lab,524-0102,守山市水保町1423-27,大橋 拓也,大橋 拓也,,H26.4.14,,,5586267.pdf
歯科技工所,25-2-36,eight デンタル ラボ,524-0014,守山市石田町１３１,位田 直也,位田 直也,,H26.10.1,,,5586267.pdf
歯科技工所,25-2-37,デンタル工房 あすなろ,524-0004,守山市笠原町1084番地3,小川 良一,小川 良一,,H27.4.30,,,5586267.pdf
歯科技工所,25-2-38,㈱ 匠,524-0102,守山市水保町2222番地,株式会社匠 代表取締役 吉川 正人,吉川 正人,,H27.9.20,,,5586267.pdf
歯科技工所,25-2-39,PURE DENTAL ART,524-0044,守山市古高町127-16,西澤 光,西澤 光,,H30.11.2,,,5586267.pdf
歯科技工所,25-2-40,K.D.A.L.,524-0211,守山市小浜町801-1,岸田 則正,岸田 則正,,H20.7.1,,,5586267.pdf
歯科技工所,25-2-41,株式会社 D-cloud,524-0021,守山市吉身6丁目5番6号 3Ｆ,株式会社 D-cloud,佐藤 尚昭,077-516-8211,R2.1.1,,,5586267.pdf
歯科技工所,25-2-42,つぐラボ,524-0001,守山市川田町1792-3,髙木 善嗣,髙木 善嗣,,44722,,,5586267.pdf
歯科技工所,25-2-43,りんしょう株式会社,524-0033,守山市浮気町346-20,りんしょう株式会社,林 尚永,077-581-2377,44346,,,5586267.pdf
歯科技工所,25-2-44,株式会社ワシ栗東,520-3013,栗東市目川861-3,株式会社 ワシ栗東,西村 敏和,552-0986,S56. 7.21,,,5586267.pdf
歯科技工所,25-2-45,ﾃﾞﾝﾀﾙｱｰﾄGOTOH,520-3022,栗東市上鈎426,後藤大典,後藤 大典,552-7623,H 5. 3.31,,,5586267.pdf
歯科技工所,25-2-46,ﾌｸｼﾏ･ﾃﾞﾝﾀﾙ,520-3024,栗東市小柿8-3-3,福嶋 三雄,福嶋 三雄,553-4006,H 2. 9. 1,,,5586267.pdf
歯科技工所,25-2-47,株式会社オーシー,520-3031,栗東市小柿5丁目10-11-2-1-2F,株式会社オーシー,中川 龍介,,H20.10.30,,,5586267.pdf
歯科技工所,25-2-48,有限会社デンタルワークス,520-3013,栗東市目川843-2,上田 隆雄,上田 隆雄,,H18.5.1,,,5586267.pdf
歯科技工所,25-2-49,ティース工房,520-3042,栗東市辻457,赤井 靖仁,赤井 靖仁,,39448,,,5586267.pdf
歯科技工所,25-2-50,Grit Dental Laboratory,520-3035,栗東市霊仙寺３丁目1-37 2Ｆ,山村 楠典,山村 楠典,,45817,,,5586267.pdf
歯科技工所,25-2-51,デンタルリーブ野洲,520-2304,野洲市永原1107-28,仰倉 隆男,仰倉 隆男,,H15.11.1,,,5586267.pdf
歯科技工所,25-2-52,清原ﾃﾞﾝﾀﾙﾗﾎﾞﾗﾄﾘｰ,520-2331,野洲市小篠原965-6,清原勝博,清原 勝博,,H 6. 4. 1,,,5586267.pdf
歯科技工所,25-2-53,株式会社アイテック,525-2415,野洲市須原206,株式会社アイテック 代表取締役 井狩 祥一,井狩 祥一,589-5719,H25.6.21,,,5586267.pdf
歯科技工所,25-2-54,ksg,520-2341,野洲市行畑一丁目8-31,片岡 久典,片岡 久典,,H23.5.1,,,5586267.pdf
歯科技工所,25-2-55,株式会社ａｄｖｅｘ,520-2324,野洲市近江富士3-6-28,株式会社ａｄｖｅｘ 代表取締役 伊藤 泰之,伊藤 泰之,514-2501,40575,,,5586267.pdf
歯科技工所,25-2-56,有限会社サンデンタルラボラトリー,520-2342,野洲市野洲1748番地５,有限会社サンデンタルラボラトリー,野田 浩司,,H23.1.1,,,5586267.pdf
歯科技工所,25-2-57,ヤマモトデンタルラボ,520-2331,野洲市小篠原1552,山本 泰幸,山本 泰幸,,H.30.1.19,,,5586267.pdf
歯科技工所,25-2-58,Foresta Lab,520-2301,野洲市小南471-65,森 剛,森 剛,,H.30.1.22,,,5586267.pdf
歯科技工所,25-2-59,馬杉デンタルラボ,520-2321,野洲市北桜759-3,馬杉 幸隆,馬杉 幸隆,,R3.3.1,,,5586267.pdf
歯科技工所,25-2-60,京セラメディカル インプラント デジタルセンター,520-2362,野洲市市三宅800 京セラ株式会社 野洲工場,京セラメディカル株式会社,原田 政彦,,R7.4.11,,,5586267.pdf
歯科技工所,25-3-1,辻歯研,520-3413,甲賀市甲賀町油日２２１６－４９,辻 伸雄,辻 伸雄,0748-88-4618,H27.1.1,,,5586267.pdf
歯科技工所,25-3-2,鷲尾デンタル・ラボスタジオ,520-3414,甲賀市甲賀町大久保８１２,西田 一誠,西田 一誠,0748-88-6260,H5.4.18,,,5586267.pdf
歯科技工所,25-3-3,大林デンタルラボ,520-3434,甲賀市甲賀町高野５２４－２,大林 義彦,大林 義彦,0748-88-5488,H22.4.1,,,5586267.pdf
歯科技工所,25-3-4,ラボ輝,520-3303,甲賀市甲南町上馬杉９６０,森田 輝幸,森田 輝幸,0748-86-4504,S61.5.16,,,5586267.pdf
歯科技工所,25-3-5,ニューズ デンタルラボラトリー,520-3308,甲賀市甲南町野田５９９,藤野 浩樹,藤野 浩樹,0748-86-6932,M33.1.0,,,5586267.pdf
歯科技工所,25-3-6,杉本歯研,529-1834,甲賀市信楽町杉山６７０,杉本 幸利,杉本 幸利,0748-82-1183,S60.8.28,,,5586267.pdf
歯科技工所,25-3-7,デンタル フュージョン,529-1851,甲賀市信楽町長野３７０番地１,飯田 正雄,直村 正治,0748-82-3178,H15.12.12,,,5586267.pdf
歯科技工所,25-3-8,西小路デンタルラボラトリー,528-0212,甲賀市土山町南土山甲７０３,西小路 敦,西小路 敦,0748-66-0065,S64.1.5,,,5586267.pdf
歯科技工所,25-3-9,ウカイラボ,528-0041,甲賀市水口町虫生野７４６,鵜飼 俊生,鵜飼 俊生,0748-63-4738,H7.1.14,,,5586267.pdf
歯科技工所,25-3-10,池田歯科技工所,528-0022,甲賀市水口町梅ヶ丘６－３９,池田 惣一,池田 惣一,0748-62-7717,H3.12.1,,,5586267.pdf
歯科技工所,25-3-11,DENTAL CRAFT,528-0054,甲賀市水口町酒人７６６,奥邨 昌隆,奥邨 昌隆,0748-62-1582,H10.8.20,,,5586267.pdf
歯科技工所,25-3-12,Dental Art SASAYAMA,528-0035,甲賀市水口町山６７８－７０,笹山 浩司,笹山 浩司,0748-63-3629,H5.11.22,,,5586267.pdf
歯科技工所,25-3-13,青木デンタルクラフト,520-3106,湖南市石部中央四丁目１－２３,青木 広一,青木 広一,0748-77-7364,H18.3.16,,,5586267.pdf
歯科技工所,25-3-14,石田歯科技工所,520-3242,湖南市サイドタウン二丁目３番３１号,石田 喜広,石田 喜広,0748-74-3235,H13.11.1,,,5586267.pdf
歯科技工所,25-3-15,アオキデンタルラボラトリー,520-3221,湖南市三雲１３１３－５,青木 康弘,青木 康弘,0748-72-9805,H14.12.25,,,5586267.pdf
歯科技工所,25-3-16,藤本デンタルオフィス,520-3237,湖南市柑子袋西三丁目13番19号,藤本 雅也,藤本 雅也,0748-72-7040,平成１５年７月,,,5586267.pdf
歯科技工所,25-3-17,内貴デンタルスタジオ,520-3221,湖南市三雲１４９６－５５,内貴 幸彦,内貴 幸彦,0748-72-1863,H5.3.8,,,5586267.pdf
歯科技工所,25-3-18,（株）カクキチ,520-3201,湖南市下田１６１７,（株）カクキチ,谷口 旭,0748-75-2473,H23.11.21,,,5586267.pdf
歯科技工所,25-3-19,村島デンタル・ラボラトリー,529-1831,甲賀市信楽町西３９８番地,村島 栄夫,村島 栄夫,0748-82-3225,S60.7.1,,,5586267.pdf
歯科技工所,25-3-20,中川デンタルラボ,520-3201,甲賀市信楽町宮町６０８,中川 太勇己,中川 太勇己,,H26.5.5,,,5586267.pdf
歯科技工所,25-3-21,ｉｗｏｋｋｕ,520-3322,甲賀市甲南町深川１３４－７,太田 仁,太田 仁,0748-86-3872,R2.12.11,,,5586267.pdf
歯科技工所,25-3-22,株式会社 oral design,520-3248,湖南市菩提寺西三丁目11番26号,山本 敦之,谷 智之,0748-74-8120,R3.3.31,,,5586267.pdf
歯科技工所,25-3-23,ダイケンデンタルラボ,528-0067,甲賀市水口町山９９,岡村 裕全,岡村 裕全,,R5.3.7,,,5586267.pdf
歯科技工所,25-4-1,吉川デンタルラボラトリー,523-0884,近江八幡市北末町２,吉川 保,吉川 保,0748-32-2691,S47.11.25,,,5586267.pdf
歯科技工所,25-4-2,アイデンタルラボラトリー,523-0058,近江八幡市加茂町１１１７－３,岡田紀夫,岡田紀夫,0748-34-8822,S58.10.1,,,5586267.pdf
歯科技工所,25-4-3,（有）中森デンタルラボラトリー,523-0892,近江八幡市出町４２３－２,寺田耕次,寺田耕次,0748-33-0934,H7.2.8,,,5586267.pdf
歯科技工所,25-4-4,エー・ディー・エス,523-0063,近江八幡市十王町７６７,中川 豊,中川 豊,0748-36-6033,H20.6.16,,,5586267.pdf
歯科技工所,25-4-5,西倉デンタルセラミックス,523-0808,近江八幡市長命寺町２９－８,西倉一宏,西倉一宏,0748-36-7910,H21.7.15,,,5586267.pdf
歯科技工所,25-4-6,戸井歯科補綴研究所,521-1321,近江八幡市安土町桑実寺３５８,戸井敏男,戸井敏男,0748-46-3516,S50.4.14,,,5586267.pdf
歯科技工所,25-4-7,Ｊ．デンタルアート,521-1351,近江八幡市安土町常楽寺３８－３５,城念次男,城念次男,0748-46-4874,H2.5.24,,,5586267.pdf
歯科技工所,25-4-8,ラボラトリー植田,523-0892,近江八幡市出町２２８－２６,植田 潤,植田 潤,,H30.5.16,,,5586267.pdf
歯科技工所,25-4-9,矢守技研,527-0004,東近江市建部堺町２９４－７,矢守 修,矢守 修,0748-22-6213,H2.1.8,,,5586267.pdf
歯科技工所,25-4-10,イチダデンタルオフィス,527-0017,東近江市昭和町１－１８住井第二歯科医院気付,市田喜昭,住井 裕,0748-53-1581,H12.2.1,,,5586267.pdf
歯科技工所,25-4-11,金村歯研,527-0227,東近江市石谷町５２８－２０,金村里志,金村里志,0748-27-0151,H13.2.1,,,5586267.pdf
歯科技工所,25-4-12,デンタル・ラボ・アクア,529-1435,東近江市五個荘伊野部町５６８,深尾雅成,深尾雅成,0748-45-5225,H13.1.22,,,5586267.pdf
歯科技工所,25-4-13,大辻デンタルラボラトリー,521-1222,東近江市佐野町５６９－９,大辻賢次,大辻賢次,0748-42-3321,S61.11.1,,,5586267.pdf
歯科技工所,25-4-14,神崎歯科製作所,521-1213,東近江市神郷町１１０９,山本 茂,山本 茂,0748-42-5346,H2.4.10,,,5586267.pdf
歯科技工所,25-4-15,にしきの補綴工房,521-1245,東近江市栗見出在家町７９１,木下英幸,木下英幸,0748-45-0210,H7.4.10,,,5586267.pdf
歯科技工所,25-4-16,北川歯科補綴研究所,521-1212,東近江市種町６４５－１２８,北川達巳,北川達巳,0748-42-2000,H8.3.1,,,5586267.pdf
歯科技工所,25-4-17,平井歯科技工所,527-0074,東近江市市辺町１０７１－１,平井道雄,平井道雄,0748-25-1623,H12.4.1,,,5586267.pdf
歯科技工所,25-4-18,GIKOUYAいぐち,521-1221,東近江市垣見町５４３－１,井口圭三,井口圭三,0748-42-6708,H21.6.8,,,5586267.pdf
歯科技工所,25-4-19,Noya・Dental・Art,527-0028,東近江市八日市金屋３－４－２,野矢紀満,野矢紀満,0748-22-5084,H21.7.20,,,5586267.pdf
歯科技工所,25-4-20,中村総研デンタルケア（株）,527-0074,東近江市市辺町２３９６,中村一也,中村一也,0748-25-1757,H24.1.1,,,5586267.pdf
歯科技工所,25-4-21,辻野デンタルラボ能登川,521-1222,東近江市佐野町４６３－２１,辻野 佐吉,辻野 佐吉,0748-42-4164,H26.4.1,,,5586267.pdf
歯科技工所,25-4-22,Prime Dental Laboratory,521-1222,東近江市佐野町４６３－５,椿 圭司,椿 圭司,,H27.4.1,,,5586267.pdf
歯科技工所,25-4-23,英樹工房,527-0137,東近江市西菩提寺町２５７,小林 英樹,小林 英樹,0749-45-0058,H21.1.7,,,5586267.pdf
歯科技工所,25-4-24,小森デンタルラボラトリー,529-1610,日野町奥之池８６０,小森雅夫,小森雅夫,0748-52-1399,H6.1.10,,,5586267.pdf
歯科技工所,25-4-25,タツヤマインターナショナル,529-1601,日野町松尾１－７－３,鄭 善己,鄭 善己,,H21.12.11,,,5586267.pdf
歯科技工所,25-4-26,ラボハウスカカ,,,畦地公敏,畦地公敏,,H7.7.16,,,5586267.pdf
歯科技工所,25-4-27,Oral Bio Design株式会社,529-1431,東近江市五個荘山本町２２０番地,上田友和,上田友和,0748-43-1285,H30.8.28,,,5586267.pdf
歯科技工所,25-4-28,ゴンマツデンタルラボ合同会社,521-1235,東近江市伊庭町２３０３,ゴンマツデンタルラボ合同会社,西川建太朗,,R5.12.28,,,5586267.pdf
歯科技工所,25-4-29,合同会社PAZAPA,527-0221,東近江市上二俣町１１０５,合同会社PAZAPA,栗田 明彦,0748-27-1443,H30.7.5,,,5586267.pdf
歯科技工所,25-4-30,KDL(コナカ デンタルラボラトリー),523-0083,近江八幡市舟木町1289－2,小中 幸男,小中 幸男,,R4.4.14,,,5586267.pdf
歯科技工所,25-4-31,デンタル ラボ Sin,527-0125,東近江市小田苅町２２７８－２５,文村 茂生,文村 茂生,,R3.3.29,,,5586267.pdf
歯科技工所,25-4-32,ラボハウス コバヤシ,521-1212,東近江市種町1720番地６９,小林 友里,小林 友里,,R3.3.30,,,5586267.pdf
歯科技工所,25-5-1,岡本歯科技工所,522-0024,彦根市正法寺町128,岡本 琢二,岡本 琢二,,S57.4.15,,,5586267.pdf
歯科技工所,25-5-2,宮川デンタルラボラトリー,529-1315,愛知郡愛荘町沓掛339,宮川 典之,宮川 典之,,S57.7.15,,,5586267.pdf
歯科技工所,25-5-3,有限会社タキイ・デンタル・アート,521-1124,彦根市野良田町320,有限会社タキイ・デンタル・アート,瀧居 茂喜,43-6288,S59.8.1,,,5586267.pdf
歯科技工所,25-5-4,ファイン・デンタル,522-0052,彦根市中薮町634-37,辻 佳樹,辻 佳樹,26-4680,H29.9.28,,,5586267.pdf
歯科技工所,25-5-5,久保歯研,522-0023,彦根市原町850-69,久保 雅英,久保 雅英,,H5.7.2,,,5586267.pdf
歯科技工所,25-5-6,ノグチ・デンタル・ファクトリー,522-0201,彦根市高宮町2199,野口 秀行,野口 秀行,23-5037,H6.8.18,,,5586267.pdf
歯科技工所,25-5-7,Ｎ．Ｄラボラトリー,522-0051,彦根市中薮町776-39,中川 欣哉,中川 欣哉,23-1296,H25.4.1,,,5586267.pdf
歯科技工所,25-5-8,渡辺デンタルアトリエ,521-1132,彦根市下稲葉町408,渡邊 良一,渡邊 良一,43-5990,H7.6.1,,,5586267.pdf
歯科技工所,25-5-9,田中デンタル・クラフト,522-0064,彦根市本町一丁目9-5,田中 幸稔,田中 幸稔,26-5859,H8.1.4,,,5586267.pdf
歯科技工所,25-5-10,デンタル・ワークス・ミヤモリ,522-0222,彦根市南川瀬町1078,宮森 誠人,宮森 誠人,,H13.2.1,,,5586267.pdf
歯科技工所,25-5-11,義歯研究所,521-1124,彦根市野良田町319,瀧居 善博,瀧居 善博,43-5353,H17.9.1,,,5586267.pdf
歯科技工所,25-5-12,Ｉ．Ｄ．Ｌａｂ,522-0024,彦根市正法寺町480-15,井口 将,井口 将,27-1886,H22.4.1,,,5586267.pdf
歯科技工所,25-5-13,デンタルラボＳｉｎ,522-0023,彦根市原町850-187-10B,文村 茂生,文村 茂生,27-5777,H25.9.17,,,5586267.pdf
歯科技工所,25-5-14,Dental works F.L.Y,522-0352,犬上郡多賀町久徳183-21,山﨑 利弘,山﨑 利弘,20-9566,H25.9.20,,,5586267.pdf
歯科技工所,25-5-15,小川技研,522-0023,彦根市原町813-9,小川貴史,小川貴史,20-6402,H29.4.1,,,5586267.pdf
歯科技工所,25-5-16,テクニカ,522-0223,彦根市川瀬南町1392-33,寺口正和,寺口正和,25-2554,H23.4.1,,,5586267.pdf
歯科技工所,25-5-17,斉藤ラボ,529-1175,豊郷町沢347-1,斉藤 義雄,斉藤 義雄,,H31.1.10,,,5586267.pdf
歯科技工所,25-5-18,キタマチデンタル,522-0041,彦根市平田町137-8,北村 知士,北村 知士,24-1050,R3.6.1,,,5586267.pdf
歯科技工所,25-5-19,ミホデンタルスタジオ,522-0004,彦根市鳥居本町2341番地5,戸田 美穂,戸田 美穂,,R4.3.1,,,5586267.pdf
歯科技工所,25-5-20,ハザマデントサーブ,522-0262,犬上郡甲良町横関354番地,陌間 勉,陌間 勉,0749－38－2740,R5.5.16,,,5586267.pdf
歯科技工所,25-5-21,ＤＥＮＴＡＬ LABO D-BASE,529-1223,愛知郡愛荘町島川1290-12,中辻 諒,中辻 諒,,R6.4.1,,,5586267.pdf
歯科技工所,25-5-22,オガワセラミックス,522-0025,彦根市野田山町587-4,小川 博史,小川 博史,,R6.7.25,,,5586267.pdf
歯科技工所,25-5-23,Kｄ・Labo,522-0043,彦根市小泉町310-15-103,北川 政行,北川 政行,0749-26-7322,R3.10.16,,,5586267.pdf
歯科技工所,25-5-24,株式会社 フジ・デンタルラボ 彦根支店,522-0222,彦根市南川瀬町1520番地2川瀬駅前ﾛｰﾀｽﾋﾞﾙ2F,（株）フジ・デンタルラボ,堀 雄一,,R6.9.26,,,5586267.pdf
歯科技工所,25-6-1,寺居歯科技工所,5260236,長浜市野村町745,寺居 武志,寺居 武志,-,S55.11.1,,,5586267.pdf
歯科技工所,25-6-2,福永歯科技工所,5260023,長浜市三ツ矢町13-37,福永 武男,福永 武男,-,S60.2.15,,,5586267.pdf
歯科技工所,25-6-3,デンタルラボ藤田,5260844,長浜市南田附町313-5,藤田 尚彦,藤田 尚彦,-,H7.4.1,,,5586267.pdf
歯科技工所,25-6-4,湖北歯科技工所,5260056,長浜市朝日町7-1,清水 康治,清水 康治,0749-62-5391,S53.8.20,,,5586267.pdf
歯科技工所,25-6-5,近藤歯科技工所,5260045,長浜市寺田町70-2,近藤 直哉,近藤 直哉,0749-65-4310,H1.12.1,,,5586267.pdf
歯科技工所,25-6-6,今西デンタル・ラボ・ラトリー,5260833,長浜市永久寺町811-2,今西 啓一,今西 啓一,0749-62-9628,H4.7.31,,,5586267.pdf
歯科技工所,25-6-7,多賀技研,5260053,長浜市宮前町9-9,多賀 一浩,多賀 一浩,0749-62-5646,H5.5.1,,,5586267.pdf
歯科技工所,25-6-8,上田歯科技工所,5260044,長浜市下坂中町325-1ｴｸｼﾘｱ下坂東101,上田 雅信,上田 雅信,,H28.4.2,,,5586267.pdf
