カテゴリ,施設名,郵便番号,所在地,住所,番地,電話番号,営業者氏名,確認・許可年月日,種別,旧種別,登録期限,保健所,出典ファイル
美容所,ヘアーサロン Ｂｉｇ,527-0014,東近江市西中野町,東近江市西中野町９６１－１,９６１－１,25-2323,松本 緑,H03/04/26,,,,東近江,5627921.pdf
美容所,ヘアサロン ノンノ,529-1405,東近江市五個荘金堂町,東近江市五個荘金堂町８２９－６,８２９－６,48-5277,市田 和子,S63/07/15,,,,東近江,5627921.pdf
美容所,ヘアーデザインサロン高倉,520-2531,蒲生郡竜王町山之上,蒲生郡竜王町山之上１１４９－４,１１４９－４,57-0915,高倉 健治,H07/11/21,,,,東近江,5627921.pdf
美容所,べっぴんや,523-0031,近江八幡市堀上町,近江八幡市堀上町１５９－４１,１５９－４１,33-3279,倉橋 良子,S60/03/02,,,,東近江,5627921.pdf
美容所,ぺにゅ美容室,521-1234,東近江市きぬがさ町,東近江市きぬがさ町１２１,１２１,42-6877,大櫛 湖末,H04/05/02,,,,東近江,5627921.pdf
美容所,ベルジユバンスサロン美彫美容室,527-0028,東近江市八日市金屋二 丁目,東近江市八日市金屋二 丁目２－６,２－６,22-6883,小澤 善昭,H06/11/08,,,,東近江,5627921.pdf
美容所,ホテルニューオウミ 美容室,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町１４８１ ホテルニューオウミ３Ｆ,１４８１ ホテルニューオウミ３Ｆ,0748-37-8880,ワタベウェディング株式会社,H15/04/28,,,,東近江,5627921.pdf
美容所,ほりえ美容室,529-1603,蒲生郡日野町大窪,蒲生郡日野町大窪５８９,５８９,52-1817,堀江 美都枝,S46/02/06,,,,東近江,5627921.pdf
美容所,マスミ,527-0028,東近江市八日市金屋一 丁目,東近江市八日市金屋一 丁目４－２,４－２,22-1734,田中 ひで,S51/07/21,,,,東近江,5627921.pdf
美容所,みくに美容室,520-2531,蒲生郡竜王町山之上,蒲生郡竜王町山之上１１４５－１,１１４５－１,57-0240,山田 久美子,H06/09/05,,,,東近江,5627921.pdf
美容所,ミスミ美容室,529-1628,蒲生郡日野町西大路,蒲生郡日野町西大路２１６１,２１６１,52-0175,仲本 伶子,S55/03/08,,,,東近江,5627921.pdf
美容所,みつわ美容室,523-0871,近江八幡市新町四丁目,近江八幡市新町四丁目４５,４５,33-5055,富永 寿子,H10/01/13,,,,東近江,5627921.pdf
美容所,みつ美容室,527-0231,東近江市山上町,東近江市山上町３６３２,３６３２,27-1078,堀江 ミツエ,S50/12/06,,,,東近江,5627921.pdf
美容所,ミフネ美生院,523-0813,近江八幡市西本郷町,近江八幡市西本郷町４０１－２,４０１－２,37-0390,奥谷 君子,S44/06/03,,,,東近江,5627921.pdf
美容所,ミマス美容室,527-0231,東近江市山上町,東近江市山上町１２９０,１２９０,27-0791,端 かおる,S39/12/03,,,,東近江,5627921.pdf
美容所,ムッシュ リュウマ,523-0015,近江八幡市上田町,近江八幡市上田町１７６－６,１７６－６,0748-37-0438,有限会社ムッシュリュウマ,H18/12/22,,,,東近江,5627921.pdf
美容所,メンズ＆レディースサロン タマミズ,527-0076,東近江市野口町,東近江市野口町１－２８,１－２８,0748-23-0576,玉水 龍太郎,H11/05/20,,,,東近江,5627921.pdf
美容所,モーション ヘアー うの,527-0046,東近江市妙法寺町,東近江市妙法寺町８７５－１,８７５－１,28-1811,宇野 昌弘,H06/02/25,,,,東近江,5627921.pdf
美容所,やよい美容室,523-0816,近江八幡市西庄町,近江八幡市西庄町１３２１,１３２１,32-1988,北川 やす子,H03/11/03,,,,東近江,5627921.pdf
美容所,ユミ,520-2511,蒲生郡竜王町林,蒲生郡竜王町林４０４,４０４,57-0246,荒川 すぎ,S50/08/01,,,,東近江,5627921.pdf
美容所,ユリ美容室 近江八幡イオン店,523-0898,近江八幡市鷹飼町南三 丁目,近江八幡市鷹飼町南三 丁目７近江八幡イオン４Ｆ,７近江八幡イオン４Ｆ,38-0226,株式会社ユリ美容室,H09/03/21,,,,東近江,5627921.pdf
美容所,りぼん,523-0894,近江八幡市中村町,近江八幡市中村町１４－１７,１４－１７,0748-34-7790,平内 明子,H14/11/25,,,,東近江,5627921.pdf
美容所,リリー,521-1221,東近江市垣見町,東近江市垣見町７０３,７０３,42-0277,中林 艶子,S34/03/19,,,,東近江,5627921.pdf
美容所,るぴなす美容所,527-0012,東近江市八日市本町,東近江市八日市本町９－１５,９－１５,22-3106,奥 紀子,S44/02/27,,,,東近江,5627921.pdf
美容所,レイメイ美容室,527-0011,東近江市八日市浜野町,東近江市八日市浜野町２－２１,２－２１,22-0425,富田 劭子,H07/11/22,,,,東近江,5627921.pdf
美容所,ロマン美容室,529-1651,蒲生郡日野町山本,蒲生郡日野町山本７６７－３９,７６７－３９,52-4433,奥田 美千子,H13/03/13,,,,東近江,5627921.pdf
美容所,安田美容所,527-0074,東近江市市辺町,東近江市市辺町２３８４－３,２３８４－３,22-2670,安田 千代子,S60/03/25,,,,東近江,5627921.pdf
美容所,安土美容院,521-1351,近江八幡市安土町常楽 寺,近江八幡市安土町常楽 寺８４８,８４８,46-2719,北川 貞夫,S50/06/06,,,,東近江,5627921.pdf
美容所,井本美容室,523-0046,近江八幡市上野町,近江八幡市上野町２０７,２０７,34-8080,井本 艶子,S34/11/25,,,,東近江,5627921.pdf
美容所,河島美容院,527-0155,東近江市大林町,東近江市大林町６２１,６２１,46-1322,河島 正明,S41/06/28,,,,東近江,5627921.pdf
美容所,吉滝美容室,527-0056,東近江市御園町,東近江市御園町５４１,５４１,22-0129,吉滝 とみ,S34/06/08,,,,東近江,5627921.pdf
美容所,吉沢美容室,529-1617,蒲生郡日野町中之郷,蒲生郡日野町中之郷１５８,１５８,52-1992,吉沢 美和子,S48/03/23,,,,東近江,5627921.pdf
美容所,橋本美容院,529-1655,蒲生郡日野町石原,蒲生郡日野町石原１１６８,１１６８,52-1709,橋本 佐代,S52/06/14,,,,東近江,5627921.pdf
美容所,五個荘美容院,529-1422,東近江市五個荘小幡町,東近江市五個荘小幡町４６３,４６３,48-2382,辻井 多喜雄,S38/03/10,,,,東近江,5627921.pdf
美容所,幸美容室,521-1221,東近江市垣見町,東近江市垣見町７２３,７２３,42-0515,古沢 幸,S33/12/01,,,,東近江,5627921.pdf
美容所,広田衣裳店美容室,527-0025,東近江市八日市東本町,東近江市八日市東本町５－２０,５－２０,0748-22-0663,有限会社廣田衣裳店,H19/11/22,,,,東近江,5627921.pdf
美容所,高畠美容室,527-0054,東近江市池田町,東近江市池田町１１４６－２,１１４６－２,22-5358,高畠 勝子,S45/09/29,,,,東近江,5627921.pdf
美容所,山崎美容室,523-0005,近江八幡市末広町,近江八幡市末広町３６８－８,３６８－８,37-7625,山崎 玲子,S52/09/19,,,,東近江,5627921.pdf
美容所,私の部屋,527-0006,東近江市建部日吉町,東近江市建部日吉町３４８－９,３４８－９,25-1340,矢野 元城,H04/12/10,,,,東近江,5627921.pdf
美容所,若宮美容室,523-0034,近江八幡市若宮町,近江八幡市若宮町５１２－２,５１２－２,37-7069,掘 米子,S51/08/12,,,,東近江,5627921.pdf
美容所,寿美美容室,527-0122,東近江市長町,東近江市長町２５７,２５７,45-0547,黄地 育子,S43/08/21,,,,東近江,5627921.pdf
美容所,小山美容院,523-0034,近江八幡市若宮町,近江八幡市若宮町横栄園４７３,横栄園４７３,37-0074,小山 徳恵,S48/12/10,,,,東近江,5627921.pdf
美容所,松井美容室,523-0084,近江八幡市船木町,近江八幡市船木町１１９７－１３,１１９７－１３,33-4733,松井 ムツミ,H05/04/26,,,,東近江,5627921.pdf
美容所,上野美容室,527-0047,東近江市野村町,東近江市野村町５１１－５,５１１－５,23-2157,上野 徳子,S61/06/16,,,,東近江,5627921.pdf
美容所,深井美容室,523-0087,近江八幡市北津田町,近江八幡市北津田町６６６,６６６,32-3835,深井 和子,H05/12/17,,,,東近江,5627921.pdf
美容所,深尾美容室,521-1334,近江八幡市安土町西老 蘇,近江八幡市安土町西老 蘇７３７,７３７,33-2894,深尾 房子,S41/02/10,,,,東近江,5627921.pdf
美容所,須口美容室,520-2561,蒲生郡竜王町須惠,蒲生郡竜王町須惠４５７,４５７,58-0067,須口 貞子,S50/12/25,,,,東近江,5627921.pdf
美容所,水島美容所,523-0041,近江八幡市中小森町,近江八幡市中小森町６８９－２０,６８９－２０,33-9241,水島 京子,S62/07/24,,,,東近江,5627921.pdf
美容所,西田美容室,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町６７３,６７３,32-2619,西田 和枝,S41/11/13,,,,東近江,5627921.pdf
美容所,染屋本舗／ＳＡＬＯＮ ＤＥ ＣＬＵＢ・Ｄ Ｊ,523-0031,近江八幡市堀上町,近江八幡市堀上町１３０－１関軌ビル２Ｆ,１３０－１関軌ビル２Ｆ,0748-34-8856/8857,東 真一,H07/11/17,,,,東近江,5627921.pdf
美容所,装美容室,521-1231,東近江市能登川町,東近江市能登川町３４４－１５,３４４－１５,42-6903,有限会社装美容室,H13/04/02,,,,東近江,5627921.pdf
美容所,増美美容室,529-1401,東近江市五個荘石馬寺 町,東近江市五個荘石馬寺 町４１４－６,４１４－６,48-4890,増田 美代子,S53/10/06,,,,東近江,5627921.pdf
美容所,中西美容室,523-0016,近江八幡市千僧供町,近江八幡市千僧供町２４７－１,２４７－１,37-0267,中西 まつ子,S46/10/15,,,,東近江,5627921.pdf
美容所,中沢美容室,527-0027,東近江市栄町,東近江市栄町５－８,５－８,22-1891,中沢 美恵子,S45/02/27,,,,東近江,5627921.pdf
美容所,長谷美容室,521-1221,東近江市垣見町,東近江市垣見町７１８,７１８,42-0388,有川 千恵子,S37/05/20,,,,東近江,5627921.pdf
美容所,長谷美容室,527-0012,東近江市八日市本町,東近江市八日市本町１７－３,１７－３,22-0665,万里川 英子,H16/10/01,,,,東近江,5627921.pdf
美容所,徳田美容室,529-1424,東近江市五個荘三俣町,東近江市五個荘三俣町１７５,１７５,0748-48-3593,徳田 ひで子,H18/04/14,,,,東近江,5627921.pdf
美容所,八千代美容室,520-2531,蒲生郡竜王町山之上,蒲生郡竜王町山之上東出３５４２,東出３５４２,57-0679,増田 光江,S35/11/01,,,,東近江,5627921.pdf
美容所,髪創作 雅楽,523-0031,近江八幡市堀上町,近江八幡市堀上町１２１－１ ナックハウス１Ｆ,１２１－１ ナックハウス１Ｆ,0748-31-3403,西山 恭代,H13/11/05,,,,東近江,5627921.pdf
美容所,美アップサロン Ｍｉｓｓ紅花,521-1215,東近江市佐生町,東近江市佐生町１５３,１５３,42-7636,山田 明子,H11/04/19,,,,東近江,5627921.pdf
美容所,美智美容室,527-0063,東近江市大森町,東近江市大森町２８,２８,22-3055,中井 美智子,S54/06/12,,,,東近江,5627921.pdf
美容所,美容 菊,523-0063,近江八幡市十王町,近江八幡市十王町８２９,８２９,36-8657,梅村 菊枝,S48/11/08,,,,東近江,5627921.pdf
美容所,美容 三和,523-0031,近江八幡市堀上町,近江八幡市堀上町１５－１０,１５－１０,34-6818,薄永 淑江,S57/07/03,,,,東近江,5627921.pdf
美容所,美容Ｂｉｇ,523-0015,近江八幡市上田町,近江八幡市上田町６２９,６２９,37-0141,松本 昭彦,H07/02/14,,,,東近江,5627921.pdf
美容所,美容マツムラ,521-1221,東近江市垣見町,東近江市垣見町６６７,６６７,42-1402,松村 紀子,S50/03/15,,,,東近江,5627921.pdf
美容所,美容院ながみね,529-1551,東近江市宮川町,東近江市宮川町６６７－３５,６６７－３５,55-2944,久保 照美,S58/08/08,,,,東近江,5627921.pdf
美容所,美容工房 萌黄,523-0082,近江八幡市土田町,近江八幡市土田町２９６－１,２９６－１,0748-32-2781,中島 千文,H18/06/01,,,,東近江,5627921.pdf
美容所,美容室 Ｂｉｇ,527-0014,東近江市西中野町,東近江市西中野町７－１８,７－１８,25-2323,松本 昭彦,H15/07/29,,,,東近江,5627921.pdf
美容所,美容室 Ｂｏｎ’ｎｅ,523-0851,近江八幡市市井町,近江八幡市市井町２６６,２６６,0748-32-3878,濱田 政彦,H16/12/20,,,,東近江,5627921.pdf
美容所,美容室 Ｃｉｅｌｏ ａｚｕｌ,527-0074,東近江市市辺町,東近江市市辺町１０５２,１０５２,0748-22-2520,永山 智加子,H15/03/07,,,,東近江,5627921.pdf
美容所,美容室 ＭＩＷＡ 三和,520-2524,蒲生郡竜王町綾戸,蒲生郡竜王町綾戸４６５,４６５,57-0532,布施 美和子,H08/11/30,,,,東近江,5627921.pdf
美容所,美容室 Ｎ．みゆき,523-0805,近江八幡市円山町,近江八幡市円山町１３１５,１３１５,0748-32-6363,西川 美佐江,H14/01/07,,,,東近江,5627921.pdf
美容所,美容室 Ｐｒｉｍｒｏｓｅ Ｔｅｒａｓｈｉ ｍａ,520-2531,蒲生郡竜王町山之上,蒲生郡竜王町山之上８５５－１,８５５－１,0748-57-1145,寺嶋 良春,H17/12/06,,,,東近江,5627921.pdf
美容所,美容室 Ｓａｃｈｉ,527-0114,東近江市大沢町,東近江市大沢町５６３,５６３,45-0638,垣谷 祐子,H13/09/11,,,,東近江,5627921.pdf
美容所,美容室 Ｓｈｕ,523-0892,近江八幡市出町,近江八幡市出町４１４－５ フラワー１番館 １０５号,４１４－５ フラワー１番館 １０５号,0748-32-0167,吉村 修一,H17/05/27,,,,東近江,5627921.pdf
美容所,美容室 ニオ,527-0023,東近江市八日市緑町,東近江市八日市緑町３０－６,３０－６,23-3556,鳰 和美,H04/03/31,,,,東近江,5627921.pdf
美容所,Ｌｏｏｏｐ ｈａｉｒ,527-0011,東近江市八日市浜野町,東近江市八日市浜野町１－１,１－１,24-2030,株式会社ｈ＆ｂ,H10/07/17,,,,東近江,5627921.pdf
美容所,美容室 プラネタリア,523-0891,近江八幡市鷹飼町,近江八幡市鷹飼町４５６－１アトレＯＳ１Ｆ,４５６－１アトレＯＳ１Ｆ,33-9550,森 修司,H09/10/09,,,,東近江,5627921.pdf
美容所,美容室 ブリック,523-0061,近江八幡市江頭町,近江八幡市江頭町４１７－２ 我等住スクウエアーⅡ,４１７－２ 我等住スクウエアーⅡ,0748-32-3766,川橋 和子,H16/10/28,,,,東近江,5627921.pdf
美容所,美容室 マッシュ,521-1225,東近江市山路町,東近江市山路町１０２－１２,１０２－１２,42-6270,川南 泰介,H07/10/05,,,,東近江,5627921.pdf
美容所,美容室 ミウラ,523-0043,近江八幡市池田本町,近江八幡市池田本町１０９５－４,１０９５－４,0748-33-4047,伊原 弥生,H13/12/21,,,,東近江,5627921.pdf
美容所,美容室 髪縛居,527-0033,東近江市東沖野五丁目,東近江市東沖野五丁目２３－９,２３－９,22-6890,矢野 幸子,H07/02/24,,,,東近江,5627921.pdf
美容所,美容室ＡＧＵＲＡＩＡ,521-1215,東近江市佐生町,東近江市佐生町３６－１０,３６－１０,42-7707,池元 暢人,H10/03/31,,,,東近江,5627921.pdf
美容所,美容室Ｂ・Ｉ・Ｔ,521-1341,近江八幡市安土町上豊 浦,近江八幡市安土町上豊 浦西才行９０７－２８,西才行９０７－２８,46-5318,菊居 潤治,H11/06/25,,,,東近江,5627921.pdf
美容所,美容室ＴＯＭＯＫＯ,523-0044,近江八幡市篠原町一丁 目,近江八幡市篠原町一丁 目１４－２,１４－２,33-2564,井上 知子,H01/12/01,,,,東近江,5627921.pdf
美容所,美容室Ｙｏｕ,527-0015,東近江市中野町,東近江市中野町７３５－５,７３５－５,22-3357,菊井 幸子,H13/04/03,,,,東近江,5627921.pdf
美容所,美容室アート,523-0892,近江八幡市出町,近江八幡市出町１２３－１ダイヤモンドビル５Ｆ,１２３－１ダイヤモンドビル５Ｆ,32-8320,久保 千鶴,H04/10/20,,,,東近江,5627921.pdf
美容所,美容室イチニのサン,521-1311,近江八幡市安土町下豊 浦,近江八幡市安土町下豊 浦４４５０,４４５０,46-2617,野村 美地子,S61/06/26,,,,東近江,5627921.pdf
美容所,美容室サフラン,523-0048,近江八幡市緑町一丁目,近江八幡市緑町一丁目９１０－７０,９１０－７０,34-6711,田中 雅子,S51/08/11,,,,東近江,5627921.pdf
美容所,美容室シオン,523-0892,近江八幡市出町,近江八幡市出町２６７,２６７,32-0345,林 正博,H07/01/09,,,,東近江,5627921.pdf
美容所,美容室シンカイ,529-1653,蒲生郡日野町三十坪,蒲生郡日野町三十坪１６０７,１６０７,52-2541,新海 君枝,S57/06/24,,,,東近江,5627921.pdf
美容所,美容室ビートル 近江八幡店,523-0015,近江八幡市上田町,近江八幡市上田町１２７８－３ １Ｆ,１２７８－３ １Ｆ,0748-37-4890,株式会社ｈ＆ｂ,H14/02/14,,,,東近江,5627921.pdf
美容所,美容室ビートル 能登川店,521-1221,東近江市垣見町,東近江市垣見町１５１５,１５１５,0748-42-7180,株式会社ｈ＆ｂ,H18/11/16,,,,東近江,5627921.pdf
美容所,美容室ビートルＢ１,527-0031,東近江市幸町,東近江市幸町１－３８,１－３８,0748-22-4517,株式会社ｈ＆ｂ,H20/03/14,,,,東近江,5627921.pdf
美容所,美容室まき,527-0047,東近江市野村町,東近江市野村町４１７－１０,４１７－１０,23-5851,邑田 清子,S58/12/17,,,,東近江,5627921.pdf
美容所,美容室ゆ～う,523-0041,近江八幡市中小森町,近江八幡市中小森町２７６－２２,２７６－２２,0748-34-8660,有限会社Ａｋａｎｅ美容室,H19/06/05,,,,東近江,5627921.pdf
美容所,美容室ルージュ,527-0039,東近江市青葉町,東近江市青葉町３８８,３８８,25-2048,金井 好江,H02/12/06,,,,東近江,5627921.pdf
美容所,美容室れい,527-0055,東近江市瓜生津町,東近江市瓜生津町１２１３,１２１３,23-6131,藤川 初枝,S54/08/20,,,,東近江,5627921.pdf
美容所,美容所かずみ,527-0231,東近江市山上町,東近江市山上町２３４９,２３４９,27-0527,河合 和美,S52/12/27,,,,東近江,5627921.pdf
美容所,百日草美容室,523-0031,近江八幡市堀上町,近江八幡市堀上町１４２－４０,１４２－４０,33-6910,米沢 好江,S61/10/27,,,,東近江,5627921.pdf
美容所,北川美容室,527-0085,東近江市下羽田町,東近江市下羽田町１４６,１４６,22-4535,北川 孝代,H14/05/07,,,,東近江,5627921.pdf
美容所,巳千子美容室,521-1342,近江八幡市安土町上出,近江八幡市安土町上出８９１,８９１,46-2410,吉田 巳千子,S49/02/28,,,,東近江,5627921.pdf
美容所,木村スタジオ美容室,523-0892,近江八幡市出町,近江八幡市出町４１６－１３,４１６－１３,0748-33-3591,有限会社廣田衣裳店,H19/11/22,,,,東近江,5627921.pdf
美容所,老人ホーム きぬがさ荘,529-1441,東近江市五個荘川並町,東近江市五個荘川並町３３０,３３０,48-3725,滋賀県立軽費老人ホ－ム きぬがさ荘,S60/08/29,,,,東近江,5627921.pdf
美容所,長屋ａｂｅｉ,529-1661,蒲生郡日野町安部居,蒲生郡日野町安部居７６４,７６４,0748-34-0168,株式会社ＢＥＭＹＯＯ,H21/04/27,,,,東近江,5627921.pdf
美容所,眞空庵,527-0104,東近江市読合堂町,東近江市読合堂町７１８,７１８,0749-45-1018,川瀬 弘江,H21/06/08,,,,東近江,5627921.pdf
美容所,ｃｏｃｏｃｈｉ,527-0125,東近江市小田苅町,東近江市小田苅町３０４－２,３０４－２,0749-45-3453,村山 浩士,H21/07/03,,,,東近江,5627921.pdf
美容所,frontier hair & face,523-0015,近江八幡市上田町,近江八幡市上田町１２４９－１６,１２４９－１６,0748-37-3131,駒井 拓郎,H21/07/08,,,,東近江,5627921.pdf
美容所,ヘアーステーション ひまわり,523-0887,近江八幡市西元町,近江八幡市西元町２７,２７,0748-32-8337,小川 早苗,H21/07/30,,,,東近江,5627921.pdf
美容所,ＤéＩ－ｓiｇＮ,527-0082,東近江市上羽田町,東近江市上羽田町２２５０－４,２２５０－４,0748-24-1331,小林 美菜子,H21/09/24,,,,東近江,5627921.pdf
美容所,HAIR Ames,527-0033,東近江市東沖野三丁目,東近江市東沖野三丁目２６０－３,２６０－３,0748-25-2057,木澤 美智子,H21/09/29,,,,東近江,5627921.pdf
美容所,Peace,527-0046,東近江市妙法寺町,東近江市妙法寺町８７５－１－１０２,８７５－１－１０２,0748-25-7717,小森 美加子,H21/10/05,,,,東近江,5627921.pdf
美容所,Ｂ．Ｐ．Ｋ．,523-0892,近江八幡市出町,近江八幡市出町４２２ コーポ・ルネタ１０１,４２２ コーポ・ルネタ１０１,0748-32-5156,Ｂ・Ｐ・Ｋ・有限会社,H21/10/29,,,,東近江,5627921.pdf
美容所,Rejoice,529-1551,東近江市宮川町,東近江市宮川町２４４－６７２,２４４－６７２,,野村 恵子,H21/11/19,,,,東近江,5627921.pdf
美容所,髪処 あまんぼ,523-0806,近江八幡市北之庄町,近江八幡市北之庄町９２０－８,９２０－８,0748-33-3822,岩本 美智子,H21/12/01,,,,東近江,5627921.pdf
美容所,ＨＡＩＲ ＣＵＳＴＯＭ ＷＯＲＫＳ,527-0038,東近江市聖徳町,東近江市聖徳町１－５９,１－５９,0748-20-0288,松本 智雄,H21/12/09,,,,東近江,5627921.pdf
美容所,ｅｃｃｏ ｇｒｅｅｎ,527-0046,東近江市妙法寺町,東近江市妙法寺町８３３,８３３,0748-25-7718,株式会社ｅｃｃｏ,H21/12/11,,,,東近江,5627921.pdf
美容所,ＲＯＣＫＥＴ ＢＥＡＵＴＹ ＳＡＬＯＯＮ,523-0813,近江八幡市西本郷町,近江八幡市西本郷町２５２－２０,２５２－２０,0748-38-0824,西 雅司,H22/01/20,,,,東近江,5627921.pdf
美容所,ＦＡＭＥＳ×ＢＲＡＮＣＨ,523-0816,近江八幡市西庄町,近江八幡市西庄町１２５０ キタゼンビル２Ｆ,１２５０ キタゼンビル２Ｆ,0748-33-6733,山口 賢也,H22/02/08,,,,東近江,5627921.pdf
美容所,デトックスハウス 美の癒し Ｏ２ 近江八 幡店,523-0015,近江八幡市上田町,近江八幡市上田町１３４９－１,１３４９－１,0748-37-2321,丸茂 真弓,H22/03/01,,,,東近江,5627921.pdf
美容所,Ｔｒｅｓｏｒ,529-1642,蒲生郡日野町上野田,蒲生郡日野町上野田８３－３,８３－３,0748-26-1269,森 千佳,H22/04/16,,,,東近江,5627921.pdf
美容所,エステティックサロン bon･fee ボンフェ,523-0819,近江八幡市西本郷町西,近江八幡市西本郷町西２－２,２－２,0748-38-4323,株式会社ＨＩＲＯＴＡ,H22/05/07,,,,東近江,5627921.pdf
美容所,Ｌｅｍｏｎ ｔｏ Ｍｉｎｔ,523-0056,近江八幡市古川町,近江八幡市古川町１１７３－７４,１１７３－７４,0748-33-3256,川嶋 めぐみ,H22/05/24,,,,東近江,5627921.pdf
美容所,ヘアーデザイン ココビ,523-0893,近江八幡市桜宮町,近江八幡市桜宮町２１５－３,２１５－３,0748-33-5505,株式会社フィール,H22/06/11,,,,東近江,5627921.pdf
美容所,ＳＴＡＮＤ ＨＥＭ,523-0015,近江八幡市上田町,近江八幡市上田町１０４１－２５,１０４１－２５,0748-26-1349,古株 圭剛,H22/07/15,,,,東近江,5627921.pdf
美容所,ｊａｍｕ,527-0033,東近江市東沖野三丁目,東近江市東沖野三丁目８－１１,８－１１,0748-36-3222,宮澤 智士,H22/08/06,,,,東近江,5627921.pdf
美容所,Ｕｎｒｅｖｅ,523-0015,近江八幡市上田町,近江八幡市上田町１２５７－３１,１２５７－３１,0748-37-2363,西村 元宏,H22/12/06,,,,東近江,5627921.pdf
美容所,Ｃａｃｈｅｔｔｅ,527-0045,東近江市中小路町,東近江市中小路町６４２－６,６４２－６,0748-23-3900,浜地 正枝,H22/12/16,,,,東近江,5627921.pdf
美容所,ＦＡＭＥＳ,523-0816,近江八幡市西庄町,近江八幡市西庄町１７９８－２,１７９８－２,0748-30-7733,山口 賢也,H23/02/01,,,,東近江,5627921.pdf
美容所,Ｈａｉｒ ａｎｄ Ｂｏｄｙ ＣＵＲＡ,523-0892,近江八幡市出町,近江八幡市出町８３９,８３９,0748-33-2110,株式会社笑楽,H23/02/01,,,,東近江,5627921.pdf
美容所,ビューティーサロンエツコ,521-1332,近江八幡市安土町東老 蘇,近江八幡市安土町東老 蘇１３８７－３,１３８７－３,0748-46-2727,岩村 恵津子,H23/06/08,,,,東近江,5627921.pdf
美容所,髪染本舗 八日市,527-0011,東近江市八日市浜野町,東近江市八日市浜野町３－１アルプラザ八日市ショッピングプラ ザアピア,３－１アルプラザ八日市ショッピングプラ ザアピア,0748-23-2200,日本バイオ医薬株式会社,H23/06/20,,,,東近江,5627921.pdf
美容所,Hair salon ONE UP マックスバリュ東近江店,527-0039,東近江市青葉町,東近江市青葉町２－８－３,２－８－３,0748-25-5353,株式会社西洋舎,H23/08/02,,,,東近江,5627921.pdf
美容所,harakara,523-0897,近江八幡市鷹飼町東一 丁目,近江八幡市鷹飼町東一 丁目３－４,３－４,0748-37-5800,山本 伸,H23/09/08,,,,東近江,5627921.pdf
美容所,ヘアーワークス Ｙ’s,523-0819,近江八幡市西本郷町西,近江八幡市西本郷町西１－２,１－２,0748-37-8003,小林 庸子,H23/09/12,,,,東近江,5627921.pdf
美容所,髪染本舗近江八幡店,523-0893,近江八幡市桜宮町,近江八幡市桜宮町２０２－１ アル・プラザ近江八幡２階,２０２－１ アル・プラザ近江八幡２階,0748-36-3887,日本バイオ医薬株式会社,H23/10/13,,,,東近江,5627921.pdf
美容所,ｅｃｃｏ ｆｌｅｕｒ,527-0017,東近江市昭和町,東近江市昭和町１０４０－１,１０４０－１,0748-22-7676,株式会社ｅｃｃｏ,H23/11/25,,,,東近江,5627921.pdf
美容所,HAIR STUDIO Ｐｅａｃｏｃｋ,523-0032,近江八幡市白鳥町,近江八幡市白鳥町２９－１,２９－１,0748-36-1451,池元 結香,H24/01/01,,,,東近江,5627921.pdf
美容所,ネオスヘアーリアン,523-0891,近江八幡市鷹飼町北三 丁目,近江八幡市鷹飼町北三 丁目１８－６,１８－６,0748-32-6523,駒井 俊郎,H24/01/28,,,,東近江,5627921.pdf
美容所,ｒａｐｐｏｒｔ,521-1321,近江八幡市安土町桑実 寺,近江八幡市安土町桑実 寺３８－１８２,３８－１８２,0748-46-6559,本村 知名江,H24/01/27,,,,東近江,5627921.pdf
美容所,西川美容室,523-0876,近江八幡市本町二丁目,近江八幡市本町二丁目２４－３,２４－３,0748-33-3771,西川 みさを,H24/01/30,,,,東近江,5627921.pdf
美容所,モア アヴァンセ,523-0058,近江八幡市加茂町,近江八幡市加茂町３５９０－６,３５９０－６,0748-32-3422,株式会社モアエンタープライズ,H24/02/13,,,,東近江,5627921.pdf
美容所,Ｌuce,521-1225,東近江市山路町,東近江市山路町２８０７,２８０７,0748-42-7660,小漆間 明代,H24/04/05,,,,東近江,5627921.pdf
美容所,Ｑｕｅｎｃｈ,520-2562,蒲生郡竜王町鵜川,蒲生郡竜王町鵜川５０６,５０６,,西村 美雪,H24/04/27,,,,東近江,5627921.pdf
美容所,シスター,527-0047,東近江市野村町,東近江市野村町５１９－４,５１９－４,0748-24-1311,山下 ミツ子,H24/06/25,,,,東近江,5627921.pdf
美容所,private salon laugh,527-0121,東近江市小池町,東近江市小池町１３２,１３２,0749-20-5026,寺川 可奈子,H24/08/10,,,,東近江,5627921.pdf
美容所,Ｔｒｉｐ,521-1204,東近江市小川町,東近江市小川町１２９０,１２９０,0748-42-1533,中田 治,H24/09/03,,,,東近江,5627921.pdf
美容所,Ｈａｉｒ Ｓａｌｏｎ Ｓａｋｕｒａ,521-1212,東近江市種町,東近江市種町１６８０－６４,１６８０－６４,26-0692,長﨑 麻紀,H24/09/18,,,,東近江,5627921.pdf
美容所,Ｈａｉｒ－ｍａｋｅ ｓｑｕａｔ,523-0031,近江八幡市堀上町,近江八幡市堀上町２１０－１２,２１０－１２,0748-32-1338,宮田 浩,H24/10/26,,,,東近江,5627921.pdf
